Generador, d, N, ECM, Var, Tiempo
LCG, 2, 10000, 4.937232069524653e-06, 4.828817679553251e-06, 0.4639
LCG, 2, 100000, 4.6884848562680356e-07, 4.670428464853076e-07, 4.5342
LCG, 2, 1000000, 4.711502442764103e-08, 4.672991053138603e-08, 48.9275
LCG, 5, 10000, 2.1223276225047016e-06, 2.1434304878468515e-06, 0.8684
LCG, 5, 100000, 1.925143316295888e-07, 1.9445477401661342e-07, 12.0830
LCG, 5, 1000000, 1.8217285642697417e-08, 1.8377474301003734e-08, 93.5816
LCG, 10, 10000, 2.2055701925111146e-07, 2.2218502411817966e-07, 4.8118
LCG, 10, 100000, 2.5229393647189433e-08, 2.5448810232454525e-08, 15.5197
LCG, 10, 1000000, 3.2006386177695284e-09, 3.2329339187022905e-09, 167.4989
XORShift, 2, 10000, 4.135277268155149e-06, 4.159851748156194e-06, 0.6895
XORShift, 2, 100000, 5.462346572406029e-07, 5.517155780579201e-07, 6.7923
XORShift, 2, 1000000, 4.9706178130198505e-08, 4.9208071490552e-08, 72.4645
XORShift, 5, 10000, 1.8906497284890492e-06, 1.90959660015056e-06, 1.3995
XORShift, 5, 100000, 2.519916449060261e-07, 2.4574819238560804e-07, 16.7071
XORShift, 5, 1000000, 2.549400288839419e-08, 2.5669569794608e-08, 150.7081
XORShift, 10, 10000, 3.3463105224436697e-07, 3.346864943940954e-07, 2.5790
XORShift, 10, 100000, 3.556373500570295e-08, 3.5919371812782225e-08, 28.5787
XORShift, 10, 1000000, 2.6853375617096533e-09, 2.6931074688216735e-09, 282.3494
Xoshiro, 2, 10000, 5.741786485313993e-06, 5.415384191537009e-06, 1.2505
Xoshiro, 2, 100000, 4.834122052122213e-07, 4.809724149821805e-07, 12.3810
Xoshiro, 2, 1000000, 4.486244210298119e-08, 4.477885543178518e-08, 135.3189
Xoshiro, 5, 10000, 1.946633550158245e-06, 1.9519962834596753e-06, 2.7549
Xoshiro, 5, 100000, 2.094649567998614e-07, 2.1128842925802185e-07, 30.3156
Xoshiro, 5, 1000000, 2.077782183764613e-08, 2.0837630222405953e-08, 298.3378
Xoshiro, 10, 10000, 2.240308240065775e-07, 2.2418679471008454e-07, 5.1319
Xoshiro, 10, 100000, 2.5879500470141174e-08, 2.3719395477800968e-08, 57.9941
Xoshiro, 10, 1000000, 3.5244871805135563e-09, 3.2465835452909647e-09, 563.5695